ruleKey;remediationFunction;remediationFactor
Bangs::ProhibitBitwiseOperators;linear;5min
Bangs::ProhibitCommentedOutCode;linear;5min
Bangs::ProhibitDebuggingModules;linear;5min
Bangs::ProhibitFlagComments;linear;5min
Bangs::ProhibitNoPlan;linear;5min
Bangs::ProhibitNumberedNames;linear;5min
Bangs::ProhibitRefProtoOrProto;linear;5min
Bangs::ProhibitUselessRegexModifiers;linear;5min
Bangs::ProhibitVagueNames;linear;5min
BuiltinFunctions::ProhibitBooleanGrep;linear;5min
BuiltinFunctions::ProhibitComplexMappings;linear;5min
BuiltinFunctions::ProhibitLvalueSubstr;linear;5min
BuiltinFunctions::ProhibitReverseSortBlock;linear;5min
BuiltinFunctions::ProhibitSleepViaSelect;linear;5min
BuiltinFunctions::ProhibitStringyEval;linear;5min
BuiltinFunctions::ProhibitStringySplit;linear;5min
BuiltinFunctions::ProhibitUniversalCan;linear;5min
BuiltinFunctions::ProhibitUniversalIsa;linear;5min
BuiltinFunctions::ProhibitUselessTopic;linear;5min
BuiltinFunctions::ProhibitVoidGrep;linear;5min
BuiltinFunctions::ProhibitVoidMap;linear;5min
BuiltinFunctions::RequireBlockGrep;linear;5min
BuiltinFunctions::RequireBlockMap;linear;5min
BuiltinFunctions::RequireGlobFunction;linear;5min
BuiltinFunctions::RequireSimpleSortBlock;linear;5min
ClassHierarchies::ProhibitAutoloading;linear;5min
ClassHierarchies::ProhibitExplicitISA;linear;5min
ClassHierarchies::ProhibitOneArgBless;linear;5min
CodeLayout::ProhibitFatCommaNewline;linear;5min
CodeLayout::ProhibitHardTabs;linear;5min
CodeLayout::ProhibitHashBarewords;linear;5min
CodeLayout::ProhibitIfIfSameLine;linear;5min
CodeLayout::ProhibitParensWithBuiltins;linear;5min
CodeLayout::ProhibitQuotedWordLists;linear;5min
CodeLayout::ProhibitTrailingWhitespace;linear;5min
CodeLayout::RequireASCII;linear;5min
CodeLayout::RequireConsistentNewlines;linear;5min
CodeLayout::RequireFinalSemicolon;linear;5min
CodeLayout::RequireTidyCode;linear;5min
CodeLayout::RequireTrailingCommaAtNewline;linear;5min
CodeLayout::RequireTrailingCommas;linear;5min
CodeLayout::RequireUseUTF8;linear;5min
CognitiveComplexity::ProhibitExcessCognitiveComplexity;linear;5min
Compatibility::ConstantLeadingUnderscore;linear;5min
Compatibility::ConstantPragmaHash;linear;5min
Compatibility::Gtk2Constants;linear;5min
Compatibility::PerlMinimumVersionAndWhy;linear;5min
Compatibility::PodMinimumVersion;linear;5min
Compatibility::ProhibitThreeArgumentOpen;linear;5min
Compatibility::ProhibitUnixDevNull;linear;5min
CompileTime;linear;5min
ControlStructures::ProhibitCStyleForLoops;linear;5min
ControlStructures::ProhibitCascadingIfElse;linear;5min
ControlStructures::ProhibitDeepNests;linear;5min
ControlStructures::ProhibitLabelsWithSpecialBlockNames;linear;5min
ControlStructures::ProhibitMutatingListFunctions;linear;5min
ControlStructures::ProhibitNegativeExpressionsInUnlessAndUntilConditions;linear;5min
ControlStructures::ProhibitPostfixControls;linear;5min
ControlStructures::ProhibitUnlessBlocks;linear;5min
ControlStructures::ProhibitUnreachableCode;linear;5min
ControlStructures::ProhibitUntilBlocks;linear;5min
ControlStructures::ProhibitYadaOperator;linear;5min
Documentation::ProhibitAdjacentLinks;linear;5min
Documentation::ProhibitBadAproposMarkup;linear;5min
Documentation::ProhibitDuplicateHeadings;linear;5min
Documentation::ProhibitDuplicateSeeAlso;linear;5min
Documentation::ProhibitLinkToSelf;linear;5min
Documentation::ProhibitParagraphEndComma;linear;5min
Documentation::ProhibitParagraphTwoDots;linear;5min
Documentation::ProhibitUnbalancedParens;linear;5min
Documentation::ProhibitVerbatimMarkup;linear;5min
Documentation::RequireEndBeforeLastPod;linear;5min
Documentation::RequireFilenameMarkup;linear;5min
Documentation::RequireFinalCut;linear;5min
Documentation::RequireLinkedURLs;linear;5min
Documentation::RequirePODUseEncodingUTF8;linear;5min
Documentation::RequirePackageMatchesPodName;linear;5min
Documentation::RequirePodAtEnd;linear;5min
Documentation::RequirePodLinksIncludeText;linear;5min
Documentation::RequirePodSections;linear;5min
Editor::RequireEmacsFileVariables;linear;5min
ErrorHandling::RequireCarping;linear;5min
ErrorHandling::RequireCheckingReturnValueOfEval;linear;5min
ErrorHandling::RequireUseOfExceptions;linear;5min
Freenode::AmpersandSubCalls;linear;5min
Freenode::ArrayAssignAref;linear;5min
Freenode::BarewordFilehandles;linear;5min
Freenode::ConditionalDeclarations;linear;5min
Freenode::ConditionalImplicitReturn;linear;5min
Freenode::DeprecatedFeatures;linear;5min
Freenode::DiscouragedModules;linear;5min
Freenode::DollarAB;linear;5min
Freenode::Each;linear;5min
Freenode::EmptyReturn;linear;5min
Freenode::IndirectObjectNotation;linear;5min
Freenode::ModPerl;linear;5min
Freenode::OpenArgs;linear;5min
Freenode::OverloadOptions;linear;5min
Freenode::POSIXImports;linear;5min
Freenode::Prototypes;linear;5min
Freenode::StrictWarnings;linear;5min
Freenode::Threads;linear;5min
Freenode::Wantarray;linear;5min
Freenode::WarningsSwitch;linear;5min
Freenode::WhileDiamondDefaultAssignment;linear;5min
HTTPCookies;linear;5min
InputOutput::ProhibitBacktickOperators;linear;5min
InputOutput::ProhibitBarewordFileHandles;linear;5min
InputOutput::ProhibitExplicitStdin;linear;5min
InputOutput::ProhibitInteractiveTest;linear;5min
InputOutput::ProhibitJoinedReadline;linear;5min
InputOutput::ProhibitOneArgSelect;linear;5min
InputOutput::ProhibitReadlineInForLoop;linear;5min
InputOutput::ProhibitTwoArgOpen;linear;5min
InputOutput::RequireBracedFileHandleWithPrint;linear;5min
InputOutput::RequireBriefOpen;linear;5min
InputOutput::RequireCheckedClose;linear;5min
InputOutput::RequireCheckedOpen;linear;5min
InputOutput::RequireCheckedSyscalls;linear;5min
InputOutput::RequireEncodingWithUTF8Layer;linear;5min
Lax::ProhibitComplexMappings::LinesNotStatements;linear;5min
Lax::ProhibitEmptyQuotes::ExceptAsFallback;linear;5min
Lax::ProhibitLeadingZeros::ExceptChmod;linear;5min
Lax::ProhibitStringyEval::ExceptForRequire;linear;5min
Lax::RequireConstantOnLeftSideOfEquality::ExceptEq;linear;5min
Lax::RequireEndWithTrueConst;linear;5min
Lax::RequireExplicitPackage::ExceptForPragmata;linear;5min
Miscellanea::ProhibitFormats;linear;5min
Miscellanea::ProhibitTies;linear;5min
Miscellanea::ProhibitUnrestrictedNoCritic;linear;5min
Miscellanea::ProhibitUselessNoCritic;linear;5min
Miscellanea::RequireRcsKeywords;linear;5min
Miscellanea::TextDomainPlaceholders;linear;5min
Miscellanea::TextDomainUnused;linear;5min
Modules::PerlMinimumVersion;linear;5min
Modules::ProhibitAutomaticExportation;linear;5min
Modules::ProhibitConditionalUseStatements;linear;5min
Modules::ProhibitEvilModules;linear;5min
Modules::ProhibitExcessMainComplexity;linear;5min
Modules::ProhibitModuleShebang;linear;5min
Modules::ProhibitMultiplePackages;linear;5min
Modules::ProhibitPOSIXimport;linear;5min
Modules::ProhibitUseQuotedVersion;linear;5min
Modules::RequireBarewordIncludes;linear;5min
Modules::RequireEndWithOne;linear;5min
Modules::RequireExplicitInclusion;linear;5min
Modules::RequireExplicitPackage;linear;5min
Modules::RequireFilenameMatchesPackage;linear;5min
Modules::RequireNoMatchVarsWithUseEnglish;linear;5min
Modules::RequirePerlVersion;linear;5min
Modules::RequireVersionVar;linear;5min
NamingConventions::Capitalization;linear;5min
NamingConventions::ProhibitAmbiguousNames;linear;5min
NamingConventions::ProhibitMixedCaseSubs;linear;5min
NamingConventions::ProhibitMixedCaseVars;linear;5min
Objects::ProhibitIndirectSyntax;linear;5min
Perlsecret;linear;5min
References::ProhibitDoubleSigils;linear;5min
RegularExpressions::ProhibitCaptureWithoutTest;linear;5min
RegularExpressions::ProhibitComplexRegexes;linear;5min
RegularExpressions::ProhibitEnumeratedClasses;linear;5min
RegularExpressions::ProhibitEscapedMetacharacters;linear;5min
RegularExpressions::ProhibitFixedStringMatches;linear;5min
RegularExpressions::ProhibitSingleCharAlternation;linear;5min
RegularExpressions::ProhibitUnusedCapture;linear;5min
RegularExpressions::ProhibitUnusualDelimiters;linear;5min
